Symbol,Date,EBITDA,Revenue,Operating Margin,ROA,Debt-to-Equity,FCF,P/E Ratio,IPO Price,1D Price,1W Price,1M Price,3M Price,1Y Price
PONY,2024-11-27,,,,,,,,15,,,,,
GRO,2024-11-27,,,,,,,,12.4,,,,,
VENU,2024-11-27,,,,,,,,10,,,,,
BRIA,2024-11-27,,,,,,,,4,,,,,
WYHG,2024-11-26,,,,,,,,4,4.04,,,,
CGTL,2024-11-26,,,,,,,,4.29,4.0,,,,
MSW,2024-11-22,,,,,,,,5.65,6.68,,,,
CASK,2024-11-22,,,,,,,,4,3.44,,,,
IZTC,2024-11-13,,,,,,,,11.1,10.36,13.11,,,
GELS,2024-10-29,,,,,,,,4,2.3696,2.49,,,
PLRZ,2024-10-29,,,,,,,,1.64,1.68,1.06,,,
WRD,2024-10-25,,,,,,,,15.5,17.0,14.52,18.27,,
SEPN,2024-10-25,,,,,,,,23.5,20.75,21.79,23.25,,
INGM,2024-10-24,,,,,,,,25.28,24.25,24.25,22.16,,
CHAR,2024-11-26,,,,,,,,9.95,9.91,,,,
LBGJ,2024-10-23,,,,,,,,4.7,3.93,4.31,3.49,,
ROLR,2024-10-23,,,,,,,,7,7.9,7.4401,5.9,,
FGL,2024-10-23,,,,,,,,5,3.33,3.74,2.45,,
SAG,2024-10-23,,,,,,,,6.01,5.46,4.08,2.95,,
HUHU,2024-10-22,,,,,,,,4,4.03,4.4,4.0001,,
ORIS,2024-10-17,,,,,,,,5.1,7.75,7.12,6.13,,
SPHL,2024-10-17,,,,,,,,5,4.16,4.379,4.4,,
PTLE,2024-10-16,,,,,,,,4.25,4.14,4.18,3.46,,
SFHG,2024-10-15,,,,,,,,4.99,6.38,9.75,15,,
UPB,2024-10-11,,,,,,,,21.5,23.38,25.88,26.8,,
CBLL,2024-10-11,,,,,,,,23.26,25.5,26.67,28.9,,
CAMP,2024-10-11,,,,,,,,11.16,10.72,11,10.51,,
STFS,2024-10-11,,,,,,,,3.75,3.36,3.66,3.8,,
KLC,2024-10-09,,,,,,,,27,28.04,28.35,27.28,,
CLIK,2024-10-09,,,,,,,,4,1.46,1.32,1.82,,
SKK,2024-10-08,,,,,,,,4.5,3.93,3.05,6.63,,
FLX,2024-10-04,,,,,,,,16.5,16.49,12.45,14.3,,
CBNA,2024-10-04,,,,,,,,22,20.75,20.65,23.06,,
SARO,2024-10-02,,,,,,,,31,32.97,32.41,28.61,,
FVR,2024-10-02,,,,,,,,18.25,19.38,18.8,18.85,,
WCT,2024-10-02,,,,,,,,3.9,3.98,5.59,8.76,,
HTLM,2024-10-01,,,,,,,,4.51,4.02,4.25,4.12,,
ZJK,2024-09-30,,,,,,,,5.5,5.0,6.8,4.64,,
BKV,2024-09-26,,,,,,,,18.55,18.05,18.01,17.71,,
GRDN,2024-09-26,,,,,,,,14.46,17.75,16.96,17.64,,
BIOA,2024-09-26,,,,,,,,22.5,21.0,20.86,24.16,,
LGCY,2024-09-26,,,,,,,,4,4.39,4.77,4.89,,
IBG,2024-09-26,,,,,,,,3,2.5289,2.0739,0.75,,
