Symbol,Sentiment Score
PONY,
GRO,
VENU,
BRIA,
WYHG,
CGTL,
MSW,
CASK,
IZTC,
GELS,1
PLRZ,
WRD,1
SEPN,1
INGM,1
CHAR,
LBGJ,
ROLR,2
FGL,4
SAG,1
HUHU,
ORIS,2
SPHL,
PTLE,
SFHG,1
UPB,
CBLL,
CAMP,0
STFS,2
KLC,
CLIK,1
SKK,2
FLX,
CBNA,
SARO,
FVR,
WCT,
HTLM,
ZJK,1
BKV,1
GRDN,
BIOA,3
LGCY,
IBG,1
PC,
CAPN,
GLE,1
YHNA,
IBO,3
KAPA,1
BCAX,2
MBX,2
ZBIO,
FVN,1
GLXG,
XCH,1
TDTH,
POLE,
VCIC,
PTHL,
PMAX,2
GIG,0
BSII,
AZI,
SPAI,1
JBDI,1
RITR,
WOK,1
HOND,
SBXD,
YXT,
ACTU,2
CEP,1
VACH,
EQV,
AAM,
MBAV,
OSTX,
NIPG,
LINE,-1
CON,0
DTSQ,
ORKT,
OS,
BLMZ,1
PGHL,
ARTV,
QMMM,1
ARDT,
TWFG,6
LPAA,
ICON,1
SIMA,
EHGO,-1
EURK,1
LB,0
ALMS,1
LSH,
WBTN,-70
TBN,1
GRAF,
RECT,
CUB,0
MACI,
FSHP,
TEM,6
PCSC,
ALF,0
WAY,1
RAPP,2
CHEB,
GAUZ,3
FLYE,0
KDLY,-1
BOW,0
HDL,0
RFAI,
RAY,3
JDZG,0
BTOC,2
ZK,3
GPAT,
PAL,0
SVCO,2
NNE,-22
CCIX,
VIK,2
ZONE,1
RBRK,3
LOAR,0
MRX,1
NCI,0
YYGH,-1
MFI,0
TRSG,0
IBTA,-7
CTRI,-3
MTEN,0
CDTG,0
JUNE,0
TWG,3
ULS,0
PACS,-25
MNDR,0
CTNM,0
MAMO,0
ZBAO,0
BOLD,1
MMA,1
UBXG,0
IBAC,
AUNA,0
RDDT,10
BKHA,
LOBO,0
ALAB,5
INTJ,0
RYDE,0
LGCL,1
SMXT,4
VHAI,3
DYCQ,
CHRO,0
UMAC,0
TBBB,0
HLXB,
TELO,0
MGX,-42
KYTX,2
PMNT,4
AHR,0
LEGT,
ANRO,-1
GUTS,2
AS,1
FBLG,1
BTSG,-1
AVBP,0
HAO,2
CGON,1
YIBO,0
SUGP,0
JL,0
KSPI,-14
JVSA,
PSBD,0
CCTG,1
SYNX,2
SDHC,0
ROMA,0
IROH,
LGCB,-1
ZKH,
BAYA,1
INHD,0
AFJK,0
GSIW,1
FEBO,0
CLBR,
ELAB,3
RR,4
DDC,0
GLAC,
SHIM,4
SGN,3
HG,2
CRGX,1
ANSC,
AITR,0
GVH,0
LXEO,2
PAPL,0
ATGL,0
MNR,0
WBUY,0
NCL,0
BIRK,1
PMEC,2
LRHC,2
GMM,1
